Category,category,FDR,inputGenes
PSI associated light-harvesting complex I,COMPARTMENTS,4.07e-05,"['3702.P27521', '3702.Q01667', '3702.Q9SY97']"
Plasma membrane light-harvesting complex,COMPARTMENTS,5.94e-05,"['3702.P27521', '3702.Q01667', '3702.Q9XF89']"
Extracellular region,COMPARTMENTS,6.01e-05,"['3702.P0CJ48', '3702.P22953', '3702.P32961', '3702.P33154', '3702.P37702', '3702.P46422', '3702.Q03250', '3702.Q42029', '3702.Q42547', '3702.Q9C5C2', '3702.Q9LRR9']"
Protein-containing complex,COMPARTMENTS,0.00012,"['3702.O49347', '3702.P0CJ48', '3702.P19366', '3702.P27521', '3702.P37702', '3702.P54144', '3702.Q01667', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8GY23', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9LE80', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
Cell junction,COMPARTMENTS,0.00013,"['3702.P22953', '3702.P54144', '3702.Q41931', '3702.Q8GY23', '3702.Q8RX87', '3702.Q9C5C2', '3702.Q9LUT2', '3702.Q9S7H1']"
Symplast,COMPARTMENTS,0.00013,"['3702.P22953', '3702.P54144', '3702.Q41931', '3702.Q42547', '3702.Q8GY23', '3702.Q8RX87', '3702.Q9LUT2']"
Intracellular,COMPARTMENTS,0.00077,"['3702.A0A1R7T3B3', '3702.O23530', '3702.O49347', '3702.O65369', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P21218', '3702.P22953', '3702.P25857', '3702.P27521', '3702.P29381', '3702.P33154', '3702.P37702', '3702.P42699', '3702.P46422', '3702.P50318', '3702.Q01667', '3702.Q03250', '3702.Q38814', '3702.Q38833', '3702.Q39141', '3702.Q39142', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42029', '3702.Q42547', '3702.Q8GY23', '3702.Q8LCA1', '3702.Q8RY71', '3702.Q949Q5', '3702.Q96500', '3702.Q9C5A9', '3702.Q9C5C2', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9LE80', '3702.Q9LRR9', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SLJ2', '3702.Q9STF2', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2', '3702.Q9ZQR8']"
External encapsulating structure,COMPARTMENTS,0.0011,"['3702.P19366', '3702.P22953', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42547', '3702.Q940J8', '3702.Q9LUT2']"
Thylakoid lumen,COMPARTMENTS,0.0012,"['3702.O80860', '3702.P19366', '3702.P42699', '3702.Q42029']"
Chloroplast photosystem I,COMPARTMENTS,0.0023,"['3702.Q8LCA1', '3702.Q9S7N7']"
Cell wall,COMPARTMENTS,0.0027,"['3702.P19366', '3702.P22953', '3702.Q39191', '3702.Q41931', '3702.Q42547', '3702.Q940J8', '3702.Q9LUT2']"
Photosystem I reaction center,COMPARTMENTS,0.0033,"['3702.Q9SA56', '3702.Q9SUI4']"
Thioglucosidase complex,COMPARTMENTS,0.0045,"['3702.P37702', '3702.Q9C5C2']"
Plasmodesma,COMPARTMENTS,0.0073,"['3702.P22953', '3702.Q41931', '3702.Q8GY23', '3702.Q8RX87', '3702.Q9LUT2']"
Plant-type cell wall,COMPARTMENTS,0.0252,"['3702.P22953', '3702.Q39191', '3702.Q41931', '3702.Q940J8', '3702.Q9LUT2']"
Stromule,COMPARTMENTS,0.0388,"['3702.P19366', '3702.P25857', '3702.Q38814']"
Cell periphery,COMPARTMENTS,0.0388,"['3702.P19366', '3702.P22953', '3702.P46422', '3702.P54144', '3702.Q07488', '3702.Q39191', '3702.Q41931', '3702.Q41963', '3702.Q42547', '3702.Q8RWS6', '3702.Q940J8', '3702.Q9LUT2', '3702.Q9S7H1', '3702.Q9XIE2']"
Cytosol,COMPARTMENTS,0.0498,"['3702.O23530', '3702.P22953', '3702.P46422', '3702.Q38814', '3702.Q41931', '3702.Q42547', '3702.Q8GY23', '3702.Q9C5C2', '3702.Q9LUT2', '3702.Q9M1P5', '3702.Q9SLJ2']"
photosynthesis,Process,2.18e-30,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P21218', '3702.P25857', '3702.P27521', '3702.P50318', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q9S7H1', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9S831', '3702.Q9SA56', '3702.Q9SHR7', '3702.Q9SUI4', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
"photosynthesis, light harvesting",Process,3.39e-22,"['3702.O80860', '3702.P0CJ48', '3702.P27521', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q949Q5', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
"photosynthesis, light harvesting in photosystem I",Process,3.39e-22,"['3702.P0CJ48', '3702.P27521', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q949Q5', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
"photosynthesis, light reaction",Process,3.39e-22,"['3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P27521', '3702.Q01667', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
generation of precursor metabolites and energy,Process,8.23e-20,"['3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P27521', '3702.P42699', '3702.P50318', '3702.Q01667', '3702.Q07488', '3702.Q39141', '3702.Q39142', '3702.Q42029', '3702.Q8LCA1', '3702.Q949Q5', '3702.Q9C5A9', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7N7', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
response to abiotic stimulus,Process,5.6e-15,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P19366', '3702.P22953', '3702.P25857', '3702.P27521', '3702.P33154', '3702.P46422', '3702.Q01667', '3702.Q03250', '3702.Q07488', '3702.Q38814', '3702.Q39141', '3702.Q39142', '3702.Q42044', '3702.Q42547', '3702.Q8RWS6', '3702.Q94C26', '3702.Q9C7X0', '3702.Q9FG67', '3702.Q9FGT2', '3702.Q9LUT2', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89', '3702.Q9XIE2']"
response to light stimulus,Process,3.39e-14,"['3702.O49347', '3702.O80860', '3702.P0CJ48', '3702.P16972', '3702.P25857', '3702.P27521', '3702.Q01667', '3702.Q07488', '3702.Q39141', '3702.Q39142', '3702.Q42547', '3702.Q8RWS6', '3702.Q94C26', '3702.Q9C7X0', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9S7W1', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87', '3702.Q9XF89']"
response to high light intensity,Process,9.56e-11,"['3702.O49347', '3702.O80860', '3702.P27521', '3702.Q01667', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87']"
response to light intensity,Process,1.04e-10,"['3702.O49347', '3702.O80860', '3702.P16972', '3702.P27521', '3702.Q01667', '3702.Q07488', '3702.Q9S7J7', '3702.Q9S7M0', '3702.Q9SHR7', '3702.Q9SY97', '3702.Q9XF87']"
